atom_id,uc_id,type,FeO_coord_used,threshold,is_surface_after_pbc,total_nn,pbc_nn,x,y,z
0,0,FeA,0,4,0,4,4,0,0,56.64
1,0,FeA,0,4,0,5,5,3.54,0,56.64
2,0,FeA,0,4,0,5,5,7.08,0,56.64
3,0,FeA,0,4,0,5,5,10.62,0,56.64
4,0,FeA,0,4,0,5,5,14.16,0,56.64
5,0,FeA,0,4,0,5,5,17.7,0,56.64
6,0,FeA,0,4,0,5,5,21.24,0,56.64
7,0,FeA,0,4,0,5,5,24.78,0,56.64
8,0,FeA,0,4,0,5,5,28.32,0,56.64
9,0,FeA,0,4,0,5,5,31.86,0,56.64
10,0,FeA,0,4,0,5,5,35.4,0,56.64
11,0,FeA,0,4,0,5,5,38.94,0,56.64
12,0,FeA,0,4,0,5,5,42.48,0,56.64
13,0,FeA,0,4,0,5,5,46.02,0,56.64
14,0,FeA,0,4,0,5,5,49.56,0,56.64
15,0,FeA,0,4,0,5,5,53.1,0,56.64
16,0,FeA,0,4,0,5,5,56.64,0,56.64
17,0,FeA,0,4,0,5,5,60.18,0,56.64
18,0,FeA,0,4,0,5,5,63.72,0,56.64
19,0,FeA,0,4,0,5,5,67.26,0,56.64
20,0,FeA,0,4,0,5,5,70.8,0,56.64
21,0,FeA,0,4,0,4,4,74.34,0,56.64
22,0,FeA,0,4,0,5,5,0,3.54,56.64
23,0,FeA,0,4,0,6,6,3.54,3.54,56.64
24,0,FeA,0,4,0,6,6,7.08,3.54,56.64
25,0,FeA,0,4,0,6,6,10.62,3.54,56.64
26,0,FeA,0,4,0,6,6,14.16,3.54,56.64
27,0,FeA,0,4,0,6,6,17.7,3.54,56.64
28,0,FeA,0,4,0,6,6,21.24,3.54,56.64
29,0,FeA,0,4,0,6,6,24.78,3.54,56.64
30,0,FeA,0,4,0,6,6,28.32,3.54,56.64
31,0,FeA,0,4,0,6,6,31.86,3.54,56.64
32,0,FeA,0,4,0,6,6,35.4,3.54,56.64
33,0,FeA,0,4,0,6,6,38.94,3.54,56.64
34,0,FeA,0,4,0,6,6,42.48,3.54,56.64
35,0,FeA,0,4,0,6,6,46.02,3.54,56.64
36,0,FeA,0,4,0,6,6,49.56,3.54,56.64
37,0,FeA,0,4,0,6,6,53.1,3.54,56.64
38,0,FeA,0,4,0,6,6,56.64,3.54,56.64
39,0,FeA,0,4,0,6,6,60.18,3.54,56.64
40,0,FeA,0,4,0,6,6,63.72,3.54,56.64
41,0,FeA,0,4,0,6,6,67.26,3.54,56.64
42,0,FeA,0,4,0,6,6,70.8,3.54,56.64
43,0,FeA,0,4,0,5,5,74.34,3.54,56.64
44,0,FeA,0,4,0,5,5,0,7.08,56.64
45,0,FeA,0,4,0,6,6,3.54,7.08,56.64
46,0,FeA,0,4,0,6,6,7.08,7.08,56.64
47,0,FeA,0,4,0,6,6,10.62,7.08,56.64
48,0,FeA,0,4,0,6,6,14.16,7.08,56.64
49,0,FeA,0,4,0,6,6,17.7,7.08,56.64
50,0,FeA,0,4,0,6,6,21.24,7.08,56.64
51,0,FeA,0,4,0,6,6,24.78,7.08,56.64
52,0,FeA,0,4,0,6,6,28.32,7.08,56.64
53,0,FeA,0,4,0,6,6,31.86,7.08,56.64
54,0,FeA,0,4,0,6,6,35.4,7.08,56.64
55,0,FeA,0,4,0,6,6,38.94,7.08,56.64
56,0,FeA,0,4,0,6,6,42.48,7.08,56.64
57,0,FeA,0,4,0,6,6,46.02,7.08,56.64
58,0,FeA,0,4,0,6,6,49.56,7.08,56.64
59,0,FeA,0,4,0,6,6,53.1,7.08,56.64
60,0,FeA,0,4,0,6,6,56.64,7.08,56.64
61,0,FeA,0,4,0,6,6,60.18,7.08,56.64
